"Manufacturer Name","Model Name","HardWare Number","FirmWare Number","Application Number","Approval Number","Version","Approval Class","Product Type","Expiry Date","PIN Support","PIN Key Management","SRED Key Management","Prompt Control","PIN Entry Technology","Functions Provided","Approved usage","Remote-managed HSM","Supports ISO Format 4 (AES) PIN Blocks","Interface Isolation","Not Marketed"
"UROVO TECHNOLOGY CO., LTD.",i9100," V2.1.1  V4.0.0 V2.1.0 V4.0.1"," V4.0.0,V2.1.0,v4.0.1V2.1.0: 31 Dec 2026,V4.0.0: 31 Dec 2026,v4.0.1: 31 Dec 2026",,4-90179,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK","TDES:MK/SK; AES:MK/SK; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"UROVO TECHNOLOGY CO., LTD.","i9100/W, i9100/C"," i9100/C: V2.0.0 i9100/W: V2.0.0"," i9100/C: V2.0.0,i9100/W: V2.0.0",,4-90063,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,1
"Utimaco Iberia SLU","Cryptosec Dekaton",1.1,"12.10.5389,12.10.6786",,4-80060,3.x,HSM,,"30 Apr 2026",N/A,"TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK,DUKPT",,N/A,N/A,,Restricted,,Yes,,0
"Utimaco Inc","Atalla HSM AT1000"," HW-AT-HSM-V2 HW-AT-HSM-V1"," 8.30.x.x, 8.40.xx, 8.50.xx,8.22.x.x,8.53.1.x",,4-70041,3.x,HSM,,"30 Apr 2026",Online,"TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK,DUKPT",,N/A,N/A,"Remote Administration",Unrestricted,No,Yes,,0
"Utimaco Inc","Utimaco C3",22-01.00.xxx," AP: xx12-1140000-xxx,SP: 7330000x",,4-40318,3.x,KLD,,"30 Apr 2026",N/A,"TDES:N/A; AES:N/A",,Vendor-controlled,N/A,,,,,,0
"Utimaco IS GmbH","CryptoServer CSe / PaymentServer"," 4.00.5.x 4.00.4.2"," 4.31.x.x, 4.33.x.x, 4.34.x.x, 4.40.x.x,4.30.x.x,4.41.x.x",,4-80050,3.x,HSM,,"30 Apr 2026",N/A,"TDES:Fixed,MK/SK,DUKPT; AES:MK/SK",,N/A,N/A,,Unrestricted,,Yes,,0
"Utimaco IS GmbH","PaymentServer Se Gen2",5.01.4.2," 3.21.x.x, 4.30.x.x, 4.31.x.x, 4.33.x.x, 4.34.x.x, 4.40.x.x,3.20.x.x,4.41.x.x",,4-80041,3.x,HSM,,"30 Apr 2026",N/A,"TDES:Fixed,MK/SK,DUKPT; AES:MK/SK",,N/A,N/A,,Restricted,,Yes,,0
"Utimaco IS GmbH","u.trust Anchor",7.03.0.3,1.22.5,,4-80079,3.x,HSM,,"30 Apr 2026",N/A,"TDES:N/A; AES:N/A",,N/A,N/A,,Restricted,No,No,,0
"Vanstone Electronic (Beijing) Co., Ltd.",A100,V1.xx,V1.0x,,4-90109,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,1
"Vanstone Electronic (Beijing) Co., Ltd.",A70,V1.00,V1.00,,4-90032,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK,DUKPT",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,1
"Vanstone Electronic (Beijing) Co., Ltd.",A75," V1.x1 V1.x0","V1.xxV1.xx: 31 Dec 2023",,4-90154,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:MK/SK; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,1
"Vanstone Electronic (Beijing) Co., Ltd.","A75 Pro","   V1.x1 V1.x0","V1.xxV1.xx: 31 Dec 2025",,4-90258,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:MK/SK; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Vanstone Electronic (Beijing) Co., Ltd.",A80," V1.x4 V1.x3","V1.xxV1.xx: 31 Dec 2025",,4-90239,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:MK/SK; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,CTLS,OP,SRED",,,Yes,,0
"Vanstone Electronic (Beijing) Co., Ltd.",A80," V1.x1 V1.x0",V1.xx,,4-90120,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed",,Acquirer-controlled,"Touch Screen","Display,ICCR,CTLS,OP,SRED",,,,,1
"Vanstone Electronic (Beijing) Co., Ltd.",A90,"   V1.x2 V1.x1",V1.xx,,4-90092,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:Fixed",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,1
"Vanstone Electronic (Beijing) Co., Ltd.",A90," 1.x1 (WIFI)  1.x2 (BT) 1.x0 (WIFI + BT)","1.x0 (WIFI + BT)",,4-30269,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:Fixed,MK/SK,DUKPT; AES:DUKPT",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,1
"Vanstone Electronic (Beijing) Co., Ltd.",A90," V1.x5  V1.x6  V1.x7 V1.x4","V1.xxV1.xx: 31 Dec 2025",,4-90259,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:MK/SK; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Vanstone Electronic (Beijing) Co., Ltd.","A90 Pro","   V1.x5 V1.x4","V1.xxV1.xx: 31 Dec 2025",,4-90240,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:MK/SK; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Vanstone Electronic (Beijing) Co., Ltd.","A90 Pro","   V1.x5 V1.x4",V1.xx,v1.01.xx,4-90298,4.x,KLD,,"30 Apr 2032",N/A,"TDES:N/A; AES:N/A",,N/A,N/A,"Display,OP",,No,No,,0
"Vanstone Electronic (Beijing) Co., Ltd.",A99,"   V1.x1 V1.x0","V1.xxV1.xx: 31 Dec 2025",,4-90291,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:MK/SK; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Vanstone Electronic (Beijing) Co., Ltd.","A99 LITE","   V1.x1 V1.x0","V1.xxV1.xx: 31 Dec 2026",,4-90346,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Vanstone Electronic (Beijing) Co., Ltd.",F10-DOCK,V1.00,"V1.00V1.00: 31 Dec 2023",,4-90166,6.x,PED,OEM,"30 Apr 2031",Online,"TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:MK/SK; FPE:No",N/A,"Physical Keypad","CTLS,SRED",,,,,1
"Vanstone Electronic (Beijing) Co., Ltd.",Q161,"   V1.x1 V1.x0","V1.xxV1.xx: 31 Dec 2025",,4-90282,6.x,PED,,"30 Apr 2031",Online,"TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:MK/SK; FPE:No",Vendor-controlled,"Physical Keypad","Display,CTLS,OP,SRED",,,Yes,,0
"Vanstone Electronic (Beijing) Co., Ltd.","Q161 Pro, Q161 Pros"," V1.x1 V1.x0","V1.xxV1.xx: 31 Dec 2026",,4-90340,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK; AES:MK/SK; FPE:No",Vendor-controlled,"Physical Keypad","Display,ICCR,CTLS,OP,SRED",,,Yes,,0
